SOURCE_REGION,SOURCE_UNIT,REGION_1967
ARUSHA,ARUMERU,Arusha
ARUSHA,ARUSHA,Arusha
ARUSHA,KARATU,Arusha
ARUSHA,LONGIDO,Arusha
ARUSHA,MONDULI,Arusha
ARUSHA,NGORONGORO,Arusha
MANYARA,BABATI,Arusha
MANYARA,HANANG,Arusha
MANYARA,KITETO,Arusha
MANYARA,MBULU,Arusha
MANYARA,SIMANJIRO,Arusha
DAR ES SALAAM,ILALA,Coast
DAR ES SALAAM,KIGAMBONI,Coast
DAR ES SALAAM,KINONDONI,Coast
DAR ES SALAAM,TEMEKE,Coast
DAR ES SALAAM,UBUNGO,Coast
PWANI,BAGAMOYO,Coast
PWANI,KIBAHA,Coast
PWANI,KIBITI,Coast
PWANI,KISARAWE,Coast
PWANI,MAFIA,Coast
PWANI,MKURANGA,Coast
PWANI,RUFIJI,Coast
DODOMA,BAHI,Dodoma
DODOMA,CHAMWINO,Dodoma
DODOMA,CHEMBA,Dodoma
DODOMA,DODOMA,Dodoma
DODOMA,KONDOA,Dodoma
DODOMA,KONGWA,Dodoma
DODOMA,MPWAPWA,Dodoma
IRINGA,IRINGA,Iringa
IRINGA,KILOLO,Iringa
IRINGA,MUFINDI,Iringa
NJOMBE,LUDEWA,Iringa
NJOMBE,MAKETE,Iringa
NJOMBE,NJOMBE,Iringa
NJOMBE,WANGING OMBE,Iringa
KIGOMA,BUHIGWE,Kigoma
KIGOMA,KAKONKO,Kigoma
KIGOMA,KASULU,Kigoma
KIGOMA,KIBONDO,Kigoma
KIGOMA,KIGOMA,Kigoma
KIGOMA,UVINZA,Kigoma
KILIMANJARO,HAI,Kilimanjaro
KILIMANJARO,MOSHI,Kilimanjaro
KILIMANJARO,MWANGA,Kilimanjaro
KILIMANJARO,ROMBO,Kilimanjaro
KILIMANJARO,SAME,Kilimanjaro
KILIMANJARO,SIHA,Kilimanjaro
MARA,BUNDA,Mara
MARA,BUTIAMA,Mara
MARA,MUSOMA,Mara
MARA,RORYA,Mara
MARA,SERENGETI,Mara
MARA,TARIME,Mara
MBEYA,CHUNYA,Mbeya
MBEYA,KYELA,Mbeya
MBEYA,MBARALI,Mbeya
MBEYA,MBEYA,Mbeya
MBEYA,RUNGWE,Mbeya
RUKWA,KALAMBO,Mbeya
RUKWA,NKASI,Mbeya
RUKWA,SUMBAWANGA,Mbeya
SONGWE,ILEJE,Mbeya
SONGWE,MBOZI,Mbeya
SONGWE,MOMBA,Mbeya
SONGWE,SONGWE,Mbeya
MOROGORO,GAIRO,Morogoro
MOROGORO,KILOMBERO,Morogoro
MOROGORO,KILOSA,Morogoro
MOROGORO,MALINYI,Morogoro
MOROGORO,MOROGORO,Morogoro
MOROGORO,MVOMERO,Morogoro
MOROGORO,ULANGA,Morogoro
LINDI,KILWA,Mtwara
LINDI,LINDI,Mtwara
LINDI,LIWALE,Mtwara
LINDI,NACHINGWEA,Mtwara
LINDI,RUANGWA,Mtwara
MTWARA,MASASI,Mtwara
MTWARA,MTWARA,Mtwara
MTWARA,NANYUMBU,Mtwara
MTWARA,NEWALA,Mtwara
MTWARA,TANDAHIMBA,Mtwara
GEITA,GEITA,Mwanza
GEITA,NYANG HWALE,Mwanza
MWANZA,ILEMELA,Mwanza
MWANZA,KWIMBA,Mwanza
MWANZA,MAGU,Mwanza
MWANZA,MISUNGWI,Mwanza
MWANZA,NYAMAGANA,Mwanza
MWANZA,SENGEREMA,Mwanza
MWANZA,UKEREWE,Mwanza
SIMIYU,BUSEGA,Mwanza
RUVUMA,MBINGA,Ruvuma
RUVUMA,NAMTUMBO,Ruvuma
RUVUMA,NYASA,Ruvuma
RUVUMA,SONGEA,Ruvuma
RUVUMA,TUNDURU,Ruvuma
GEITA,BUKOMBE,Shinyanga
GEITA,MBOGWE,Shinyanga
SHINYANGA,KAHAMA,Shinyanga
SHINYANGA,KISHAPU,Shinyanga
SHINYANGA,SHINYANGA,Shinyanga
SIMIYU,BARIADI,Shinyanga
SIMIYU,ITILIMA,Shinyanga
SIMIYU,MASWA,Shinyanga
SIMIYU,MEATU,Shinyanga
SINGIDA,IKUNGI,Singida
SINGIDA,IRAMBA,Singida
SINGIDA,MANYONI,Singida
SINGIDA,MKALAMA,Singida
SINGIDA,SINGIDA,Singida
KATAVI,MLELE,Tabora
KATAVI,MPANDA,Tabora
KATAVI,TANGANYIKA,Tabora
TABORA,IGUNGA,Tabora
TABORA,KALIUA,Tabora
TABORA,NZEGA,Tabora
TABORA,SIKONGE,Tabora
TABORA,TABORA,Tabora
TABORA,URAMBO,Tabora
TABORA,UYUI,Tabora
TANGA,HANDENI,Tanga
TANGA,KILINDI,Tanga
TANGA,KOROGWE,Tanga
TANGA,LUSHOTO,Tanga
TANGA,MKINGA,Tanga
TANGA,MUHEZA,Tanga
TANGA,PANGANI,Tanga
TANGA,TANGA,Tanga
GEITA,CHATO,West Lake
KAGERA,BIHARAMULO,West Lake
KAGERA,BUKOBA,West Lake
KAGERA,KARAGWE,West Lake
KAGERA,KYERWA,West Lake
KAGERA,MISSENYI,West Lake
KAGERA,MULEBA,West Lake
KAGERA,NGARA,West Lake
